id,key,interpolations,is_proc,created_at,updated_at,locale,value,is_html,complete,is_list
2753,paratransit_note,,false,,,es,Este es un servicio con un propósito Especializado ,false,false,false
145,after_school_program_name,,false,2014-07-09 08:28:42.101385,2014-07-09 08:28:42.101385,en,After School Program,false,false,false
2754,rideshare_note,,false,,,es,Servicios de viajes compartidos,false,false,false
147,after_school_program_note,,false,2014-07-09 08:28:42.127536,2014-07-09 08:28:42.127536,en,After School Program,false,false,false
2755,senior_name,,false,,,es,Visitar Centro de Personas Mayores,false,false,false
149,cancer_treatment_name,,false,2014-07-09 08:28:42.163824,2014-07-09 08:28:42.163824,en,Cancer Treatment,false,false,false
2756,senior_note,,false,,,es,Viaje para visitar el Centro de Personas Mayores,false,false,false
151,cancer_treatment_note,,false,2014-07-09 08:28:42.188531,2014-07-09 08:28:42.188531,en,Cancer Treatment,false,false,false
2757,stretcher_accessible_name,,false,,,es,Camilla accesible.,false,false,false
153,dialysis_name,,false,2014-07-09 08:28:42.224654,2014-07-09 08:28:42.224654,en,Dialysis,false,false,false
2758,stretcher_accessible_note,,false,,,es,¿Necesita un vehículo que se adapte a una camilla?,false,false,false
155,dialysis_note,,false,2014-07-09 08:28:42.248876,2014-07-09 08:28:42.248876,en,Dialysis,false,false,false
2759,training_name,,false,,,es,Capacitación/Empleo,false,false,false
157,education_name,,false,2014-07-09 08:28:42.284643,2014-07-09 08:28:42.284643,en,Education,false,false,false
2760,training_note,,false,,,es,Empleo o viaje de entrenamiento.,false,false,false
159,education_note,,false,2014-07-09 08:28:42.307968,2014-07-09 08:28:42.307968,en,Education,false,false,false
2761,transit_note,,false,,,es,Este es un servicio de transporte público.,false,false,false
161,general_purpose_name,,false,2014-07-09 08:28:42.343737,2014-07-09 08:28:42.343737,en,General Purpose,false,false,false
2762,transit_name,,false,,,es,Transporte Público en un ruta fija,false,false,false
163,general_purpose_note,,false,2014-07-09 08:28:42.36702,2014-07-09 08:28:42.36702,en,General Purpose,false,false,false
2763,volunteer_name,,false,,,es,Voluntario,false,false,false
165,grocery_name,,false,2014-07-09 08:28:42.410861,2014-07-09 08:28:42.410861,en,Grocery,false,false,false
2764,volunteer_note,,false,,,es,Este es un servicio voluntario,false,false,false
167,grocery_note,,false,2014-07-09 08:28:42.445347,2014-07-09 08:28:42.445347,en,Grocery,false,false,false
2765,work_name,,false,,,es,Trabajo,false,false,false
169,medical_name,,false,2014-07-09 08:28:42.481739,2014-07-09 08:28:42.481739,en,Medical,false,false,false
2766,work_note,,false,,,es,Viaje relacionado con el trabajo.,false,false,false
171,medical_note,,false,2014-07-09 08:28:42.505256,2014-07-09 08:28:42.505256,en,Medical,false,false,false
2767,cancer_note,,false,,,es,Viaje para recibir tratamiento contra el cáncer.,false,false,false
173,methadone_name,,false,2014-07-09 08:28:42.554737,2014-07-09 08:28:42.554737,en,Methadone,false,false,false
2768,average,,false,,,es,Promedio,false,false,false
175,methadone_note,,false,2014-07-09 08:28:42.579007,2014-07-09 08:28:42.579007,en,Methadone,false,false,false
2769,fast,,false,,,es,Rápido,false,false,false
177,other_name,,false,2014-07-09 08:28:42.615706,2014-07-09 08:28:42.615706,en,Other,false,false,false
2770,remove_logo,,false,,,es,Retire el Logo,false,false,false
179,other_note,,false,2014-07-09 08:28:42.654911,2014-07-09 08:28:42.654911,en,Other,false,false,false
2771,slow,,false,,,es,Lento,false,false,false
181,personal_errand_name,,false,2014-07-09 08:28:42.691656,2014-07-09 08:28:42.691656,en,Personal Errand,false,false,false
2772,upload_logo,,false,,,es,Subir el Logo,false,false,false
183,personal_errand_note,,false,2014-07-09 08:28:42.715848,2014-07-09 08:28:42.715848,en,Personal Errand,false,false,false
2773,errors.messages.expired,,false,,,es,"ha expirado, por favor pida uno nuevo",false,false,false
185,pharmacy_name,,false,2014-07-09 08:28:42.750718,2014-07-09 08:28:42.750718,en,Pharmacy,false,false,false
2774,errors.messages.not_locked,,false,,,es,no está bloqueada,false,false,false
187,pharmacy_note,,false,2014-07-09 08:28:42.77429,2014-07-09 08:28:42.77429,en,Pharmacy,false,false,false
2775,errors.messages.not_saved.other,,false,,,es,%{count} errores evitaron que este %{resource} fuera guardado:,false,false,false
189,recreation_name,,false,2014-07-09 08:28:42.810103,2014-07-09 08:28:42.810103,en,Recreation,false,false,false
2776,devise.failure.already_authenticated,,false,,,es,Ya estás dentro del sistema.,false,false,false
191,recreation_note,,false,2014-07-09 08:28:42.833586,2014-07-09 08:28:42.833586,en,Recreation,false,false,false
2777,devise.failure.invalid_token,,false,,,es,Ficha de autenticación invalida.,false,false,false
193,senior_center_name,,false,2014-07-09 08:28:42.86884,2014-07-09 08:28:42.86884,en,Senior Center,false,false,false
